=== Server Log Started ===
[2026-01-20 06:25:10] [INFO ] [PID:6397] 로그 시스템 초기화 완료
[2026-01-20 06:25:10] [INFO ] [PID:6397] === Multi-Process Echo Server (fork-exec) 시작 ===
[2026-01-20 06:25:10] [INFO ] [PID:6397] Port: 9190
[2026-01-20 06:25:10] [INFO ] [PID:6397] 클라이언트 연결 대기 중 (poll 사용, fork-exec 방식)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=28, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42026 (Session #29, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6559, Session #29)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=29, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42036 (Session #30, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6560, Session #30)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=30, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42040 (Session #31, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6561, Session #31)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=31, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42048 (Session #32, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6562, Session #32)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=32, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42060 (Session #33, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6563, Session #33)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=33, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42070 (Session #34, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6564, Session #34)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=34, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42072 (Session #35, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6565, Session #35)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=35, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42076 (Session #36, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6566, Session #36)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=36, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42084 (Session #37, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6567, Session #37)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=37, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42094 (Session #38, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6568, Session #38)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=38, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42106 (Session #39, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6569, Session #39)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=39, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42122 (Session #40, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6570, Session #40)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=40, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42134 (Session #41, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6571, Session #41)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=41, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42146 (Session #42, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6572, Session #42)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=42, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42150 (Session #43, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6573, Session #43)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=43, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42158 (Session #44, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6574, Session #44)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=44, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42168 (Session #45, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6575, Session #45)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=45, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42176 (Session #46, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6576, Session #46)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=46, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42186 (Session #47, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6577, Session #47)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=47, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42192 (Session #48, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6578, Session #48)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=48, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42196 (Session #49, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6579, Session #49)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=49, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42206 (Session #50, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6580, Session #50)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=50, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42218 (Session #51, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6581, Session #51)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=51, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42222 (Session #52, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6582, Session #52)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=52, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42224 (Session #53, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6583, Session #53)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=53, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42236 (Session #54, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6584, Session #54)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=54, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42248 (Session #55, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6585, Session #55)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=55, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42258 (Session #56, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6586, Session #56)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=56, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42264 (Session #57, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6587, Session #57)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=57, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42278 (Session #58, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6588, Session #58)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=58, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42280 (Session #59, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6589, Session #59)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=59, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42292 (Session #60, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6590, Session #60)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=60, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42302 (Session #61, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6591, Session #61)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=61, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42318 (Session #62, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6592, Session #62)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=62, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42322 (Session #63, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6593, Session #63)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=63, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42330 (Session #64, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6594, Session #64)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=64, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42344 (Session #65, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6595, Session #65)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=65, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42354 (Session #66, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6596, Session #66)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=66, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42362 (Session #67, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6597, Session #67)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=67, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42374 (Session #68, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6598, Session #68)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=68, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42386 (Session #69, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6599, Session #69)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=69, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42392 (Session #70, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6600, Session #70)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=70, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42404 (Session #71, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6601, Session #71)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=71, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42412 (Session #72, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6602, Session #72)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=72, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42420 (Session #73, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6603, Session #73)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=73, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42424 (Session #74, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6604, Session #74)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=74, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42436 (Session #75, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6605, Session #75)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=75, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42448 (Session #76, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6606, Session #76)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=76, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42458 (Session #77, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6607, Session #77)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=77, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42462 (Session #78, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6608, Session #78)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=78, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42472 (Session #79, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6609, Session #79)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=79, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42484 (Session #80, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6610, Session #80)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=80, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42498 (Session #81, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6611, Session #81)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=81, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42500 (Session #82, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6612, Session #82)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=82, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42506 (Session #83, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6613, Session #83)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=83, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42514 (Session #84, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6614, Session #84)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=84, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42528 (Session #85, fd: 4)
[2026-01-20 06:25:25] [INFO ] [PID:6397] Worker 프로세스 생성 (PID: 6615, Session #85)
[2026-01-20 06:25:25] [DEBUG] [PID:6397] fork 성공=85, exec 대기 중...
[2026-01-20 06:25:25] [INFO ] [PID:6397] 새 연결 수락: 127.0.0.1:42540 (Session #86, fd: 4)
